Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Monday,1/3/2022,Carnival,8,,"Carnival, Halitosis, Boogeyman, Scalp, Blade, Rocketman, Cycle Bar, Slice",,1,2022
Wednesday,1/5/2022,Slice,15,,"Slice, Carnival, Scalp, Freighter, Paneer, BumpHer, Big Sky, Grout, Rocketman, Cycle Bar, Tbone, Halitosis, Boo Boo, PrinceSS, Blade",,1,2022
Monday,1/10/2022,Carnival,7,0,"Carnival, Rabbit, Halitosis, Cycle Bar, Rocketman, Grout, Big Sky",,1,2022
Wednesday,1/12/2022,Slice,10,0,"Slice, Carnival, Freighter, Hightower, Paneer, Trauma, Grout, Cycle Bar, Arson, Blade",,1,2022
Monday,1/17/2022,Slice,7,0,"Slice, Carnival, Retina, Samwise, Gas Man, Arson, Halitosis",,1,2022
Wednesday,1/19/2022,Retina,6,,"Retina, Carnival, Halitosis, Paneer, Freighter, Arson",,1,2022
Monday,1/24/2022,Boogeyman,9,,"Boogeyman, Freighter, Slice, Retina, Cycle Bar, Trauma, Carnival, Rocketman, Seagal",,1,2022
Wednesday,1/26/2022,"Gas Man (CoQ), Blade",7,,"Gas Man, Blade, Retina, Hightower, Murse, Big Sky, Rocketman",,1,2022
Monday,1/31/2022,Carnival,9,1,"Carnival, Halitosis, PrinceSS, Gas Man, Blade, Rocketman, Murse, Big Sky, Chlorine",Chlorine (FNG),1,2022
Wednesday,2/2/2022,Halitosis,12,1,"Halitosis, Carnival, Freighter, Hightower, Slice, Retina, Rocketman, Chlorine, Paneer, Pig skin, Murse, Big Sky",,2,2022
Monday,2/7/2022,"Rocketman, Blade",11,2,"Rocketman, Blade, Longhorn, Slice, Retina, Big Sky, Freighter, Halitosis, Chlorine, Stix, Focker","Focker (FNG), Stix (FNG)",2,2022
Wednesday,2/9/2022,Big Sky,12,,"Big Sky, Rocketman, Freighter, Gas Man, Longhorn, Zit, Slice, Chlorine, Paneer, Retina, Arson",,2,2022
Monday,2/14/2022,Retina,8,,"Retina, Chlorine, Murse, Slice, Scalp, Rocketman, Blade, Sox",,2,2022
Wednesday,2/16/2022,Tater,9,,"Tater, Blade, Focker, Slice, Rocketman, Halitosis, Rabbit, Zit, Hightower",,2,2022
Monday,2/21/2022,Gopher,8,,"Gopher, Grout, Blade, Focker, Arson, Zit, Rocketman, Retina",,2,2022
Wednesday,2/23/2022,Rocketman,14,2,"Arson, Classified, Gas Man, Grout, Halitosis, Hightower, Paneer, Rabbit, Retina, Slice, Sox, Zit, Vinyl (FNG), Armstrong (FNG), Rocketman",,2,2022
Monday,2/28/2022,Carnival,8,0,"Carnival, Rocketman, Slice, Arson, Scalp, Halitosis, Blade, Freighter",,2,2022
Wednesday,3/2/2022,Blade,13,1,"Blade, Tbone, Gas Man, Arson, Freighter, Slice, Paneer, Pig skin, Carnival, Hightower, Rocketman, Halitosis, Seeker (FNG)",Seeker,3,2022
Monday,3/7/2022,Rocketman,8,1,"Rocketman, Retina, Carnival, Freighter, Slice, Asphalt (FNG), Halitosis, Blade",,3,2022
Wednesday,3/9/2022,"Hightower, Blade",10,,"Hightower, Blade, Halitosis, Armstrong, Asphalt, Carnival, Focker, Rocketman, Lemonblade",,3,2022
Monday,3/14/2022,Gopher,8,,"Gopher, Freighter, Blade, Halitosis, Arson, Seeker, Rocketman, Wax Off",,3,2022
Wednesday,3/16/2022,Rocketman,11,2,"Rocketman, Blade, Freighter, Scalp, Focker, Halitosis, Hightower, Paneer, Samwise, Sand Trap, Shrink",Sand Trap (FNG),3,2022
Monday,3/21/2022,Huckleberry,11,,"Rocketman, Bullseye, PrinceSS, Juice, Retina, CheapSkate, Sand Trap, Gas Man, Huckleberry, Sox, Halitosis",,3,2022
Wednesday,3/23/2022,Gas Man,4,1,"Gas Man, Rocketman, Juice, Telecaster",,3,2022
Monday,3/28/2022,Crunch,7,0,"Crunch, Rabbit, Carnival, Princess, Squid, Rocketman, Telecaster",,3,2022
Wednesday,3/30/2022,Hightower,13,0,"Hightower, Sand Trap, Telecaster, Big Sky, Retina, Halitosis, Slice, Arson, Focker, Rocketman, Chlorine, Carnival, Scalp",,3,2022
Monday,4/4/2022,Boogeyman,9,,"Boogeyman, Carnival, Cheapskate, Rocketman, Slice, Chlorine, Daft, Murse, Sand Trap",,4,2022
Wednesday,4/6/2022,Retina,9,,"Retina, Rabbit, Carnival, Hightower, Halitosis, Arson, Seeker, Cheapskate, Zit",,4,2022
Monday,4/11/2022,Crunch,12,,"Crunch, Daft, Murse, Halitosis, Rocketman, Slice, Flash (FNG), Big Sky, Gas Man, Retina, Focker, Stitches",,4,2022
Wednesday,4/13/2022,Rocketman,10,,"Rocketman, Slice, Freighter, Blade, Paneer, Scalp, Stitches, Trauma, Retina, Hightower",,4,2022
Monday,4/18/2022,Gas Man,13,2,"Gas Man, Blade, Cheapskate, Chitty Chitty (FNG), Chlorine, Murse, KingPin (DR), Rocketman, Retina, Scalp, Focker, Flash, Seeker, K-town (FNG)",FNGs Chitty Chitty and K-towm,4,2022
Wednesday,4/20/2022,Paneer,7,1,"Paneer, Freighter, Slice, Focker, Rocketman, Halitosis, Icy Hot (FNG)",FNG Icy Hot,4,2022
Monday,4/25/2022,Rocketman,5,,"Rocketman, Carnival, Cheapskate, Sand Trap, Chlorine",Slice 300th Post,4,2022
Wednesday,4/27/2022,Trauma,10,,"Trauma, Gas Man, Carnival, Slice, Paneer, Retina, Freighter, Arson, Flash, Rocketman",,4,2022
