ao,q,pax,fngs,date,title,moleskine,bb_type
bellagio,puff,"bigmac,hooch,puff,squid,stinger",,2023-09-05,Roll The Dice...Pay The Price ,"*WARMUP:*
Grass Grabbers 
LBAC 
LBAC flapjack 
Overhead Claps 
Abe Vigoda 
PL Mosey 
Squats X60 OMD 
1 Min. free stretch

*THE THANG:*
Run to hill 
-Round 1 THE HILL
each pax rolls dice to dictate exercise run up and down hill between rolls
run to theatre 
-Round 2 THE THEATRE 
each pax rolls in between rolls 
run up and down stairs x2 
run to statue 
-Round 3 THE STATUE 
each pax rolls in-between rolls 
step ups X6 
run to hill top 
Squats OMD X60 
BBSU OMU X40
10 COUNT 
BBSU OMU X30
10 COUNT 
BBSU OMU X20
10 COUNT 
BBSU OMU X10 
10 COUNT 
BBSU OMU X5 
run to parking lot 
*MARY:*
Final dice roll by Squid and it was Burpees until timem 
*ANNOUNCEMENTS:*
GTE, M43 miles of rememberance, Rocketmans Lasagna party. 
""Big reminder as we go into GTE focus on the push yourself don't hurt yourself be careful but be strong. Also be HONEST with yourself and your fellow pax if you have to tapout of the event because of injury, do so. 
*COT:*
Taps for all ",backblast
iron-mountain,chlorine,"chlorine,escobar",,2023-09-05,UNO mass,"*WARMUP:* side straddle hops,  Michael Phelps,  potato pickers 
*THE THANG:* draw a card,  complete an exercise.... push youself  (see comments for details)
*MARY:* no Mary.. completed spelling ""Faith"" with our exercises
*ANNOUNCEMENTS:* mission 43, grow ruck
*COT:* Escobar testing for career advancement,  chlorines father is in the hospital,  pray for those serving our country",backblast
rebel,hipaa,"backslash,bandit,chief,cortana,dutch,family guy,gopher,hipaa,none,tenor",none,2023-09-05,Post Weekend Fast Rebel Run,"*WARMUP:* Quick mosey to Tuscany
*THE THANG:* Mosey around Tuscany trails and neighborhood at a fast pace!
*MARY:* Post weekend run completed in true Rebel fashion.
*ANNOUNCEMENTS:* Goruck, Various upcoming races, Leadership event, Lasagna dinner, etc.
*COT:*",backblast
tower,face plant,"da wurst,doppler,face plant,strings",,2023-09-05,Long weekends equals great workouts ,"*WARMUP:*

SSH x 20
Grass grabbers x 10
Michael Phelps x 10
Goofballs x 20

*THE THANG:*

Round 1 x 20

Goblet squat
Merkin
Coupon lunge
Bent over row
Step ups
Dips
Box jumps
Curls

Round 2 x 15
Round 3 x 10
Round 4 x 5
Mosey in between rounds

*MARY:*

Planks rotations x 10
Butterfly sit ups x 20
Plank Jacks x 20
Lbc x 20
Shoulder taps x 20
Star gazers til time

*ANNOUNCEMENTS:*

GTE 
9/11 memorial ruck/run
Lasagna party 

*COT:*
Had to be there",backblast
gem,sheets,"biczar,gas man,hammer,robin,sheets,undercover",,2023-09-05,Substi-Q,"DISCLAIMER
WARMUP:
8 to 1 motivators
Abe Vigoda
Tin Soldier + Jazzercise
Michael Phelps
Grass Grabber

THE THANG:
Blockees x15 OMD
1 mile park mosey
Rifle Carry Coupon half-way around parking lot
Mountain Climbers 
Coupon Merkin Drag 
Coupon Hip Thrusters 
Man-Maker Merkin
Scissor Flutterkick

2 rounds of the following:
Coupon Jump Forward/Back OYO - x10 - pop a squat when finished
Coupon Jump Right/Left OYO - x10 - pop a squat when finished
Squat + High Jump in cadence - x10

Rifle Carry Coupon back to flags

MARY:
Hillbillies until 6AM

ANNOUNCEMENTS:
This Saturday - Iron Pax at Bellagio - regular BD at Gem
9/11 Miles of Remembrance - signup in #mumblechatter
9/16 GTE38 - do it or volunteer (PLEASE)
9/23 Lasagna Party (@Rocketman)
9/30 Leadership Summit (BD + learning/collaboration)

THAT'S WHAT SHEETS SAID:
While F3 is about Fitness, Fellowship, and Faith and may seem like it is all about ourselves, it really isn't.  It's about getting ourselves right and keeping ourselves healthy (body, heart, and mind) for those that are important to us (Ms, 2.0s, Family, F3 Brothers....).  Let's be mindful of this, and while doing some of the things to keep ourselves healthy may appear selfish on the surface, it is important that we take care or ourselves for the others in our lives.  Keep exercising, eating right, watching what you are putting in your body (food) and mind (relationships + faith).  Be connected with and be there for others - for them.  Thank you to all of you for your contributions to the conversation and being there this morning for me.

COT: Yes, please and thank you",backblast
bleach,backslash,"backslash,double wide,ebenezer,guac,hooch,old spice,sheets,stinger,strings,windbag",ebenezer,2023-09-04,"5, 6, 7, 8!","*WARMUP:*
7 to 1 Motivators
Waterfall Calf Stretch x10 IC
Abe Vigoda x10 IC
Up downs OMD

*THE THANG:*
Load up and head to the lit end of the parking lot

10 mins of:
1x Sandbag Clean and Press
2x Sandbag Deadlifts
3x Sandbag Thrusters
4x Sandbag Lunges
Hustle to the road and back with sandbag

10 mins of PAX choice:

5x Baggies (thanks Strings)
6x Sandbag Squats
7x Bent Over Rows
8x Sandbag Lunges
Hustle to the road and back with sandbag

10 mins of PAX choice:
9x  Sandbag Overhead Toss
10x Manmaker Merkins (Sandbag pull-through)
11x Curls
12x Good morning
Hustle to the road and back with sandbag

*MARY:*
Bring Sally Up

*ANNOUNCEMENTS:*
GTE a week from Friday!
GTE gear check videos
Get Sandbags to Timney + crew for GTE
Rocket-man lasagna the week after GTE
Leadership summit on the 30th
9/11 5K run/ruck event at Ann mo, 6pm start, tshirt pickup at Payette on the 10th

*COT:*
Topics in circle. Great being out there with all of you today!",backblast
rise,husker,"classified,hawkeye,husker,timney,wafer",,2023-09-04,This will stick with you,"*WARMUP:*
	• Pickup your stick (never let go)
	• SSH IC X15
1,4FJ,5FJ Stick Movement (See picture) IC x15 each
*THE THANG:*
	• Mosey to Hill base - Long way (count off)
	• March up the hill
		○ Overhead Press every two steps
	• March down the hill
		○ Rifle carry (Stay close)
	• Circle around pavilion
		○ Two-hand press IC (out then up) x20
		○ Punches 1 minute 
		○ Merkins 1 minute
		○ Side shuffle/squat 1 round
		○ Curls OMU 50
Traveling Lunges OYO 1 round
TWICE
*MARY:*
	• Circle of Situps x30
	• The Dolly (Spread/Close IC
Little Baby Crunch IC 
*ANNOUNCEMENTS:*
GrowRuck needs sandbags
*COT:*
Family needs prayers for teen",backblast
old-glory,rocketman,"kremlin,red card,rocketman",,2023-09-04,The three caballeros,"*WARMUP:*

5-to-1 motivators
Grass grabbers IC x10
Abe Vigoda IC x10
Little baby arm circles IC x10 - reverse
Seal clap/overhead claps IC x10
Imperial walkers IC x20

*THE THANG:*

Alternating piggy back ride around the park

Steps ups IC x100

Injured man carry around the park

Crab walk 30 yard down and bear crawl back

*MARY:*

American hammers IC x20
Little baby crunches IC x21
Heel taps IC x20
Big boy sit-ups IC x20
Plank until time

*ANNOUNCEMENTS:*

GTE, Lasagne party (help needed), leadership summit

*COT:* Complete

Happy Labor Day!",backblast
warhorse,telecaster,"bandit,stitches,telecaster",,2023-09-04,The Music is in You,"*WARMUP:*

SSH - 20 IC
Abe Vigodas - 10 IC
Lunge Stretches
Potato Pickers - 10 IC
LBACs

*THE THANG:*

Mosey Around Warhorse at an 11:15min/mile pace

Exercise while songs go: 

Workin' for the Weekend - by Loverboy
SSH and when Everybody is sung = Burpee

Proud, Mary - CCR - BBSU and Chorus = Freddie Mercurys

Tubthumping - Luynges, Lyric, I get knocked down = Burpee

Flower - by Moby - Squats up/down when lyrics tell you to

Danger Zone - CANT REMEMBER - :(

*MARY:*

25 LBC IC
Low Plank 60 count in ECHO Cadence
Merkins

*ANNOUNCEMENTS:*

GTE - Support Help
Lasagna F2 Event 

*COT:* Had to be there",backblast
black-ops,sand trap,"ramsay,sand trap",,2023-09-03,GTE long ruck ,"*WARMUP:*pack gear 

*THE THANG:* 13.1 miles and we got wet.
*MARY:*nope
*ANNOUNCEMENTS:*

*COT:*all morning",backblast
bleach,retina,"prince,retina,samwise,timney,sweetheart",,2023-09-02,Gettin After it,"*WARMUP:* 3/4 mile or so east mosey, grass grabbers, tin soldiers, Abe Vigoda, Michael Phelps, 20 merkins.
*THE THANG:* one HIM planks while other 4 are flipping tires down about 20m and back. Each HIM did 8 lengths, 20 Rocky balboas, 20 BBSU, 20 merkins, coupon curls, overhead press. 
Series of squats, lunges, merkins, BBSU while one HIM does forward tire drag. Rinse and repeat with reverse tire drag. 
Sandbag carry with dump and pick up. 
4 more lengths of tire flip. 
*MARY:* 5 min of Mary. 
*ANNOUNCEMENTS:* GrowRuck. Lasagna. 
*COT:* had to be there.
Coffeeteria: role F3 plays in men’s lives. 
Thanks Timney for coffee. 
Thanks Sweetheart and Samwise for the DD. Way to get after it. ",backblast
bellagio,methane,"methane,stinger",,2023-09-02,Bay City Rollers,"*WARMUP:*
25x SSH IC
10x Tin Soldiers IC
10x Michael Phelps IC
10x Abe Vagotas IC
Mosey one lap around park

*THE THANG:*
SB carry to stage
5x burpee climbers
SB lunge walk across grass to base of hill
Bear crawls SB drag up the hill
SB toss down the hill
SB carry back to stage
1 min wall sit
mosey to statue and back
Rinse and Repeat 3 times

SB carry one loop around park

*MARY:*
25x Flutter Kicks IC
25x BBSUs 
1 min plank

*ANNOUNCEMENTS:*
9/11 run
GTE is coming

*COT:*
Always",backblast
tower,face plant,"doodle,face plant,ramsay,strings",,2023-09-02,IPC Week 0,"*WARMUP:*

In the BD

*THE THANG:*

    * Warm-up (performed in cadence)
        * 13 reps of each exercise (all 4 count)
            * SSH
            * Imperial Walkers
            * Shoulder Taps
            * Mountain Climbers
            * Plank Jacks
    * 800-meter run
    * 85 reps of each of the following exercise. Perform 8 burpees after completing 85 reps of each exercise, including the KB Swings.
        * Hand Release Merkins
        * Big Boy Sit-ups
        * Goblet Squats
        * Dips
        * Overhead Press
        * 4 count flutter kicks
        * KB Swings
    * 800-meter run

*MARY:*
In the BD

*ANNOUNCEMENTS:*
GTE
Lasagna party
9/11 

*COT:*
Prayers for being present and patient. 

It was a honor to lead this morning. ",backblast
gem,"freighter,gas man,slice","freighter,gas man,kremlin,lawsuit,old spice,robin,rocketman,scalp,sheets,slice,water wings",water wings,2023-09-02,IPC - week zero ,"*WARMUP:*
Conditions: Clouds, low 60’s 
Disclaimer 

Parking lot mosey 
OYO Stretch as IPC behind the #s explained

*THE THANG:*

IPC - week zero 
“The Win” vol 2 - Done for time. 

In memory of F3 Greenwood “Brut’s” father Gary Weineke, Army x-ray spec and Hall of Fame Track and Field coach x 30 yrs. 

WoR (all IC x 13)
- SSH
- Imperial Walkers 
- Shoulder taps 
- Mtn climbers 
- Plank jacks 

800 m run 

85 reps of each, followed by 8 burpees 
- HR merkins 
- Big boy sit-ups 
- Goblet squats 
- Dips
- OHP 
- Flutter kick 
- Coupon swing 

800 m run 

Time called. 
 
*MARY:*
Done throughout 

*ANNOUNCEMENTS:*
GTE 2 weeks away 
Lasagna night 9/23 by Rocketman and co 
Mission 43 9/11 miles of remembrance 
Mud run 9/23 

*COT:* ✅ 
The gloom was good

Inspiring to be out there w you men doing something hard. Big thanks to Freighter and Slice for sacrificing time to help push and motivate us. Don’t forget to input your times. 

As stated by Robin - the hardest battle is often the voices of doubt in our own heads. Each one of you should be proud of what you accomplished this morning. Scalp is a beast. Welcome water wings - FNG at IPC is no joke. 

Y’all pushed yourselves, pushed each other and picked up the 6! Great coffeeteria at Jackson’s too despite being out of diet mtn dew.",backblast
iron-mountain,big sky,"asphalt,big sky,carnival,cheapskate,chlorine,stitches,telecaster,echo,merman,reboot","echo,merman",2023-09-02,We were all winners,"*WARMUP:*

20 side straddle hop
10 grass grabber
20 little baby arm circles
10 reverse little baby arm circles
10 Seal claps.
10 overhead claps
10 Michael Phelps

THE THANG:

Mosey 1/2 lap

Raffle carry coupon to Mountain

Dice Game- One pax roll dice, gets an exercise for everyone and starts the assigned exercise. 
Pax take turns with a 5 inch hose, making a hot lap around the mountain, while others do exercise 

1- Mountain Climbers or bear, crawls and crawl bears

2- Curls for the girls 

3- Big Boys sit-ups 

4- Rifle carry 

5- Merkins

6- LBAC

Rifle carry back to cars

Winners and losers. 

Each pax draw a card to see who “won”. Winner would pull 50 feet of fire hose each time you win you add 50 feet of hose to your length.  

Merry last 5 min until time is called. 

30 big boy sit ups
25 LBC
20 Freddie Mercury’s
boat canoes until time is called 

COR-10!!!!!  it was a great day at iron Mountain
COT
",backblast
ruckership-west,blade,"backslash,blade,freighter,hooch,rocketman,timney",,2023-09-01,Jackson’s Jacksoff’s,We rucked it up and we rucked it down. ,backblast
ruckership-east,crunch,"crunch,escobar",,2023-09-01,Rucking with my Friend and Brother,"*WARMUP:*
None
*THE THANG:*
Ruck and discuss from 0500-0600.
*MARY:*
None
*ANNOUNCEMENTS:*
None
*COT:*
Wisdom; humility4 practicing dying to self and truly serving others, especially wife and kids; Escobar has important work tests over the coming weeks.

Truly a blessing to get some quality fellowship with my friend and brother in Christ @Escobar. Have a blessed day everyone!",backblast
backyard,doodle,"doodle,sheets",,2023-09-01,Time to step up ,"*WARMUP:*
Parking lot mosey 

*THE THANG:*
step up complex : total 100 step ups 
10 w/ SB and Ruck
20 W/ SB
30 W/ Ruck
40 slick. 

step up complex 
100 muricans 
Step up complex 
100 BBSU
Step up complex
100 reps core 
   50 Flutter kicks 
   20 Superman’s 
   30 murican hammers 
Step up complex

400 total step ups. 

*MARY:*
Plank to time 

*ANNOUNCEMENTS:*
*COT:*",doubledown
backyard,flea fly,"cortana,doodle,doppler,face plant,flea fly,gas man,puff,ramsay,sheets,telecaster",,2023-09-01,Table Pushes suck,"Warm-o-rama
SSH
Grassgrabbers 
Airsquats
LBAC rxr
Overhead claps
Sealclaps
Coupon mosey to gazebo 

Table push
20 thrusters
Table push
20 Thrusters
Table push
20 thrusters
Table push (drop coupons)
20 Dips
Mosey to coupons
10 Thrusters 
Mosey to tables
10 Dips
Mosey to flags

Mary 
BBSU
Alternating leg raises
Mountain Climbers
Plank
Freddy Mercury 
Flutter kicks

*ANNOUNCEMENTS:*
9/11 run next weekend
@rocketman lasagna gathering 

*COT:*
Puff and his work
Sherman and his health
God being the leader of our lives

Mumblechatter
Don't move your neck if it hurts to move it
Egg Breaking inside/outside
Family Revision book
FNG David bailed
Doodle made a step up joke to sheets

GratefulNess and Gratitude for letting me lead. Tap that App, and book your Q's.",backblast
camels-back-park,cavity,"canuck,cavity,deepdish,defrost,gopher,huggies,link,neinstein,retina,robin,wooderson",huggies,2023-09-01,Surge,"*WARMUP:* plank, wall sit, Bulgarian split squat, air squat
*THE THANG:* Indian run w/ sand bag and sand bag soccer 
*MARY:* plank 
*ANNOUNCEMENTS:* grow ruck
*COT:* Whats your why",backblast
rebel,tenor,"canuck,dutch,family guy,rocketman,tenor",,2023-08-31,Rebel GTE Prep,"*WARMUP:*
1 min Merkins 
2 min Sit Ups
Max Pull Ups
*THE THANG:*
.5 mile jog
2 mile run
1 mile burden carry
*MARY:* Recovery 
*ANNOUNCEMENTS:*
GTE, M43 911 event, Rocketman lasagna party & F3 leadership event
*COT:* topics in circle",backblast
bellagio,focker,"bigmac,dynamite-dr from mn,epa,eric(fng)- kernel,eric- kernel,focker,methane,ramsay,samwise,sand trap,scalp,stinger",eric- kernel,2023-08-31,How do you find the area of a cube? ,"*WARMUP:*mosey to hill, up the hill- burpeex10, merkinsx10, mosey around the Colliseum, stretch!

*THE THANG:*60 lb medicine ball, each does step ups on concrete steps, one by one the pax put the medicine ball up on the concrete shelf. 7 per pax.
77 step ups total. 
Rosey up and over the hill to parking lot, grab the cube aka the rogue wooden box.
One person runs the box rifle carry style over head to a location of their choosing. Then that pax calls out a exercise for the pax to do, and the one pax who carried the box does 5 box jumps. 
Made it around the lake and back to the starting spot. Exercises included merkins, sprints, squats all with sand bags and coupons.
Next grabbed black mamba, two people on the mamba up the hill, 4 pax on the table push up the hill, the rest had sand bags on their shoulders and went up the hill. Rinse and repeat, switching from black mamba to table etc..


*MARY:* 15 BBSU, sprint up hill, crawl bear down hill, lbc-15, sprint up hill. One min of gratitude! Recover recover!!!!
*ANNOUNCEMENTS:*gte, IPC
*COT:* prayers for dynamites brother’s son!",backblast
tower,gopher,"da wurst,face plant,gopher,huckleberry,strings,tater",,2023-08-31,Late post - HDT Upper Gains,"*WARMUP:*
Arms + Merkins
*THE THANG:*
Merkins - 2 min Amrap
Kneeling ruck curl with over head press ladder - 2 x 2 min amrap
Hand release Merkins 3 x 60s Amrap
Posterior Forearm holds 3 x 60s
Sandbag COH complex 1 x 4 min
Merkins - 2 min amrap
*MARY:*
Merkins were the Mary
*ANNOUNCEMENTS:*
Leadership summit Sept 30 (all men are leaders in F3)
*COT:*
Preparedness separates the pro from the amateur. It is the means by which we can direct our days no matter the circumstance. It is a constant, everyday, red pill. Step out, be intentional, prepare, and accelerate.",backblast
gem,gas man,"biczar,donatello,gas man,guac,hammer,kremlin,sheets,zilla",,2023-08-31,🔥Slow burn🔥 ,"*WARMUP:*

Conditions: Full moon, clear low 60’s
Disclaimer 

Mosey around park to bathrooms-
- SSH, GG, MP (led by Zilla) Tin soldier, deep lunge (recite F3 core principles) all IC x 10

Wall sits while:
1 PAX does 5 merkins, runs around building, tags next man up all while Biczar reluctantly learned Utah fight song. 

*THE THANG:*

🔥“Slow burn”🔥 

Rd 1: - All IC x 22 
LBCs
Merkins - slow count 
Slow Flutter 
HR Merkins 

Parking lot mosey 

Rd 2 - (again IC x22)
Mike Tyson’s 
Slow jump squat (“Rebyata” ребята squat) 
Shoulder taps 
Iron leg - (maniacal ballet or river dance style)

Parking lot semi slowsey 

Hammer time Burpees x 22 
(led by Hammer) RESPECT 

*MARY:*
Ring O fire 
Plank - 5 tuck jumps 
American hammer - 5 merkins 
Al gore pulse - mtn climbers x10 
Flutter - sprint hurdles 

Recover. Recover. 

*ANNOUNCEMENTS:*
IPC schedule each Sat at Gem & Bellagio 
GTE 
Mission 43 - 9/11 walk 
Sheets is the champ 

*COT:* ✅ 
Praises and pleadings offered

Honor to lead. Great having Guac back out at the Gem. Congrats to the champ Sheets w the runaway Aug title. Great job ZILLA and Hammer leading today. 

22 reps today was done in honor of Ty Jordan and Aaron Lowe - both Utah football players lost their lives 3 years ago and both wore #22. “Who am I sir, an Utah man am I. A Utah man sir, will be til I die!” Go Utes 🙌🏼",backblast
backyard,doodle,"cartman,charbroil,cortana,doodle,flea fly,gopher,huckleberry,puff,tater,wooderson",,2023-08-30,Heavy drop leg day,"*WARMUP:*
Grass Grabbers 
Abe Vigota
Waterfall stretch 
1 min OYO stretch 

*THE THANG:*
1 min AMRAP Prison Squat 
5 min AMRAP burpees 
3x 1 min AMRAP SB squat cleans. Parking lot mosey between rounds 
2x2 min Power Lunge Squat ladder 
Parking lot slowsy between rounds 
Every 30 seconds for 5 min SB squat press complex 
5 min AMRAP burpees 
1 min AMRAP Prison Squat 

*MARY:*
No time 

*ANNOUNCEMENTS:
GTE support and 9/11 ruck for remembrance

*COT:*
Had to be there ",backblast
iron-mountain,escobar,"chlorine,escobar,gauge,hightower,telecaster",,2023-08-30,Eccentric Exercises for Eccentric Exercisers,"WARMUP:
SSH and lower body stretches

THE THANG:
20 Reps of:
Lunges
Squats
Step Ups
In between each set were wall sits progressively moving up
30 seconds
45 Seconds
1 Minute
1 Minute and 15 Seconds
1 Minute and 30 Seconds 

ANNOUNCEMENTS:
GTE is coming up soon.  Sign up or volunteer!

Mission 43 has a 9/11 memorial 5k at Anne Morrison Park in Boise at 600PM on 9/12

@Bandit has a financial planning seminar with tacos on 08/30 from 600PM  to 700PM. Message him for details

@Rocketman's Lasagna Party is coming up

COT:

Praying for all of our PAX and their families. ",backblast
